car_dealership,price,city,brand,model,release_date,type_of_ban,color,distance,gearbox,gear,is_new,views,owners,market,seats,Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası,engine_power,horsepower,fuel,condition_1,condition_2,day,month,year
1,44800.0,Bakı,Kia,Sorento,2015,Offroader / SUV,Narıncı,87000,Avtomat,Ön,0,304,1,Koreya,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,184,Dizel,0,0,27,5,2023
0,89250.0,Bakı,Mercedes,E 220,2020,Sedan,Qara,39500,Avtomat,Arxa,0,31245,1,Avropa,5,1,1,0,1,1,1,1,1,1,1,1,0,0,2,170,Dizel,0,0,28,5,2023
0,5700.0,Şirvan,LADA (VAZ),2112,2005,Hetçbek,Qara,216318,Mexaniki,Ön,0,1822,2,Rusiya,5,1,0,0,0,1,0,0,1,0,0,0,1,0,1,81,Benzin,0,0,26,5,2023
0,30600.0,Bakı,Chevrolet,Nexia,2022,Sedan,Ağ,7000,Avtomat,Ön,0,551,1,Avropa,5,1,1,0,1,1,0,1,0,0,0,0,0,0,1,106,Benzin,0,0,25,5,2023
0,5200.0,Mingəçevir,LADA (VAZ),2107,2005,Sedan,Ağ,27000,Mexaniki,Arxa,0,254,1,Rusiya,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,65,Benzin,0,0,28,5,2023
0,12000.0,Ağcabədi,LADA (VAZ),Niva,2014,Offroader / SUV,Ağ,135000,Mexaniki,Tam,0,916,2,Rusiya,4,1,1,0,0,1,1,0,1,1,1,1,1,0,1,80,Benzin,0,0,25,5,2023
0,21500.0,Bərdə,Hyundai,Santa Fe,2007,Offroader / SUV,Ağ,200000,Avtomat,Tam,0,147,1,Koreya,7,1,1,1,1,1,1,1,1,1,0,0,0,0,2,189,Benzin,0,0,28,5,2023
0,65620.0,Bakı,Toyota,Land Cruiser,2012,Offroader / SUV,Ağ,189548,Avtomat,Tam,0,448,1,Rəsmi diler,7,1,1,1,1,1,1,1,1,1,1,1,1,1,4,282,Benzin,0,0,27,5,2023
1,93900.0,Bakı,Kia,Sorento,2023,Offroader / SUV,Qara,0,Avtomat,Tam,0,17525,1,Rəsmi diler,7,1,1,1,1,1,1,1,1,1,1,1,1,1,2,202,Dizel,0,0,27,5,2023
1,23400.0,Bakı,Hyundai,Elantra,2017,Sedan,Göy,94000,Avtomat,Ön,0,7291,0,Amerika,5,1,1,0,0,1,0,1,0,1,1,1,0,0,2,150,Benzin,0,0,28,5,2023
1,39300.0,Bakı,Mercedes,E 220,2014,Sedan,Ağ,192000,Avtomat,Tam,0,3391,1,Koreya,5,1,1,1,1,1,1,1,1,1,0,1,0,1,2,170,Dizel,0,1,24,5,2023
0,10800.0,Bakı,Opel,Astra,2007,Hetçbek,Mavi,310000,Mexaniki,Ön,0,5742,2,Avropa,5,1,1,0,0,1,0,1,0,0,1,0,0,0,1,90,Dizel,0,0,27,5,2023
0,12900.0,Bakı,Toyota,Prius,2006,Hetçbek,Gümüşü,283000,Avtomat,Ön,0,282,0,Amerika,5,1,1,0,1,1,1,1,1,1,1,1,1,0,1,76,Hibrid,0,0,28,5,2023
1,21000.0,Bakı,Toyota,Prius,2012,Liftbek,Gümüşü,227000,Variator,Ön,0,4344,1,Avropa,5,1,1,0,1,1,0,1,0,0,1,1,1,0,1,99,Hibrid,0,0,28,5,2023
1,14500.0,Bakı,Nissan,Note,2015,Hetçbek,Ağ,41000,Avtomat,Ön,0,829,1,Yaponiya,5,1,1,0,1,1,1,1,1,1,1,1,0,0,1,98,Benzin,0,0,28,5,2023
0,10500.0,Bakı,Kia,Rio,2006,Hetçbek,Qara,352000,Mexaniki,Ön,0,759,3,Avropa,5,0,1,0,0,1,0,1,0,0,0,0,0,0,1,109,Dizel,0,1,25,5,2023
